nodeid,service,serviceCount,status,time
6,,18,Current Resource,3.380000000
7,,18,Current Resource,3.380000000
8,,1,Current Resource,3.380000000
8,/prefix/seq=67,0,Data Processing,3.380816000
8,1.000519,0,Computation time,3.380816000
7,/prefix/seq=62,19,Data Correction,3.381508087
6,,18,Current Resource,3.400000000
7,,19,Current Resource,3.400000000
8,,0,Current Resource,3.400000000
6,,18,Current Resource,3.420000000
7,,19,Current Resource,3.420000000
8,,0,Current Resource,3.420000000
7,/prefix/seq=68,18,Data Processing,3.430816000
7,0.250326,18,Computation time,3.430816000
6,,18,Current Resource,3.440000000
7,,18,Current Resource,3.440000000
8,,0,Current Resource,3.440000000
6,,18,Current Resource,3.460000000
7,,18,Current Resource,3.460000000
8,,0,Current Resource,3.460000000
6,,18,Current Resource,3.480000000
7,,18,Current Resource,3.480000000
8,,0,Current Resource,3.480000000
6,/prefix/seq=69,17,Data Processing,3.480816000
6,0.292112,17,Computation time,3.480816000
6,/prefix/seq=64,18,Data Correction,3.481085373
6,,18,Current Resource,3.500000000
7,,18,Current Resource,3.500000000
8,,0,Current Resource,3.500000000
6,,18,Current Resource,3.520000000
7,,18,Current Resource,3.520000000
8,,0,Current Resource,3.520000000
6,/prefix/seq=70,17,Data Processing,3.530816000
6,0.292322,17,Computation time,3.530816000
7,/prefix/seq=65,19,Data Correction,3.530918696
8,/prefix/seq=50,1,Data Correction,3.531424188
